name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
virginia,2020-01-01,53.6,34.3,43.5,53.6,29.8,40.7,28.2,56.6,0,0,0,,0,0,20.9,14.6,260.5,1012,12.3,9.9,83.8,7.2,4,,2020-01-01T07:24:34,2020-01-01T17:01:53,0.21,Clear,Clear conditions throughout the day.,clear-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2020-01-02,59.8,31.3,46.4,59.8,28.7,45.3,30.2,58,0,0,0,,0,0,22.6,14.9,200.9,1015.6,51,9.9,71.6,6.2,4,,2020-01-02T07:24:43,2020-01-02T17:02:41,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2020-01-03,57.7,45.2,52,57.7,40,50.2,49.4,91.4,0.204,100,50,rain,0,0,28.4,14,216.7,1011.9,74.7,8.3,37,3.3,2,,2020-01-03T07:24:50,2020-01-03T17:03:30,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2020-01-04,62.2,46.1,56.3,62.2,40.7,55.7,53.7,91.4,0.428,100,62.5,rain,0,0,29.8,11.8,248.5,1005.6,79.3,8.8,39.3,3.4,2,,2020-01-04T07:24:55,2020-01-04T17:04:21,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2020-01-05,48.7,34.6,42.6,44.1,29.5,36.9,27.7,56.8,0.013,100,4.17,rain,0,0,30.7,19.4,293,1017,23.7,9.9,90.5,7.8,4,,2020-01-05T07:24:58,2020-01-05T17:05:13,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2020-01-06,55.7,31.9,42.1,55.7,27.4,40.1,27.9,60.3,0,0,0,,0,0,23,14,264.7,1018.5,6.4,9.9,91,8,4,,2020-01-06T07:24:59,2020-01-06T17:06:06,0.37,Clear,Clear conditions throughout the day.,clear-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2020-01-07,43.4,29.1,35.9,41.7,25,32.5,31.2,83.3,0.304,100,20.83,rain,0,0,31.1,21.2,285.8,1016.9,57.7,9.2,17.7,1.6,1,,2020-01-07T07:24:58,2020-01-07T17:07:00,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2020-01-08,52.5,31.5,39.6,52.5,25.7,35.4,23.9,57.2,0,0,0,,0,0.1,34.2,20.7,266.9,1023,7.5,9.9,95.1,8.4,4,,2020-01-08T07:24:55,2020-01-08T17:07:55,0.43,Clear,Clear conditions throughout the day.,clear-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2020-01-09,43.7,24.5,34.2,42.4,24.5,32.2,21,59.9,0,0,0,,0,0,13.6,7.4,97.2,1039.4,26.6,9.9,91.1,7.9,4,,2020-01-09T07:24:49,2020-01-09T17:08:51,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2020-01-10,61.2,33,47.2,61.2,31.3,46.8,39.1,74.2,0,0,0,,0,0,20.7,13.8,181.4,1035,55.8,9.9,79.5,6.9,3,,2020-01-10T07:24:42,2020-01-10T17:09:49,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
virginia,2020-01-11,71.7,55.8,63.4,71.7,55.8,63.4,56.9,79.9,0.015,100,8.33,rain,0,0,32.7,21,178.8,1024.4,73.7,9.4,53.3,4.6,2,,2020-01-11T07:24:33,2020-01-11T17:10:47,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KRIC,KFCI,F2053,72401013740,KW96,KOFP,72308493775"
